|merah.rasi|file|
|material.rasi|file|
|flat-orange.rasi|file|
|flamingo.rasi|file|
|fancy.rasi|file|
|cloud.rasi|file|
|arc-red-dark.rasi|file|
|README.md|file|
|slate.rasi|file|
|README.md|file|
U|User Themes|file|
rof|rofi-themes|file|
t|theme|around|
rof|rofi-dunst|file|
te|test.rasi|file|
U|User Themes|file|
rofith|rofi-themes|file|
en|entry|around|
ns|nselect|around|
fore|foreground|around|
nsel|nselect|around|
col|color|around|
ba|background|around|
ba|background|around|
back|background|around|
nse|nselect|around|
nse|nselect|around|
nsel|nselect|around|
nsele|nselect|around|
nsele|nselect|around|
nse|nselect|around|
nse|nselect|around|
nsel|nselect|around|
sel|select_fg|around|
select_|select_bg|around|
sel|selected|around|
rg|rgba|around|
ho|horizontal|around|
ba|background|around|
ba|background|around|
tr|transparent|around|
ba|background|around|
tr|transparency|around|
tran|transparency|around|
ba|background|around|
ba|background|around|
bac|background|around|
co|color|around|
bac|background|around|
Spa|SpawnNewInstance|around|
zat|zathura|around|
za|zathurarc|file|
za|zathura|file|
config|config.fish|file|
pthread_cre|pthread_create|around|
pt|pthread_t|around|
prin|printf|clangd|f
prin|print_hello_world|clangd|f
thre|threads|clangd|v
pthreadcre|pthread_create|clangd|f
th|threads|around|
prin|printf|clangd|f
NUM|NUMBER_OF_THREADS|clangd|v
NU|NUMBER_OF_THREADS|clangd|v
hi|highlight|around|
e|enable|around|
synt|syntax|around|
La|LaTex|around|
brc|brcyan|around|
br|brcyan|around|
white|white|around|
dep|dependency|around|
st|stack|around|
mas|master|around|
depen|dependency|around|
jul|julho|around|
maio|maio|around|
Pro|Prova|around|
junho|junho|around|
Sis|Sistemas|around|
Post|Postagem|around|
I|Impactos|around|
Sis|Sistemas|around|
maio|maio|around|
maio|maio|around|
Sist|Sistemas|around|
nu|numero|clangd|v
nu|numero|clangd|v
nue|numero|clangd|v
nu|numero|clangd|v
nu|numero|clangd|v
main|make_signed|clangd|S
iostre|iostream>|clangd|F
incl|include|clangd|S
nu|numero|clangd|v
iostre|iostream>|clangd|F
ic|include|clangd|S
nu|numero|clangd|v
inclu|include|clangd|S
CON|CONFIGURATION|around|
PLUG|PLUGGINGS|around|
gi|gitgutter|around|
ctr|ctrlp.vim|file|
vim-|vim-nerdtree-syntax-highlight.vim|file|
con|configs|around|
ne|nerdtree.vim|file|
pytho|python|around|
lig|lightline.vim|file|
plu|plugin-configs|file|
plu|plugin-configs|file|
|vim-instant-markdown.vim|file|
confi|confirms|around|
heig|height|around|
per|percentage|around|
tos|tostring|around|
mess|message|around|
to|tostring|around|
mute|muted|around|
muted_in|muted_int|around|
muted_in|muted_int|around|
mut|muted|around|
aw|awful|around|
aw|awful|around|
pami|pamixer|around|
pami|pamixer|buffer|
emit|emit_volume_info|around|
noti|notify|around|
me|message|around|
wi|with_shell|around|
sp|spawn|around|
awf|awful|around|
de|decrease|around|
Vo|Volume|around|
in|increase|around|
mess|message|around|
mes|message|around|
s|step|around|
decrease|decrease|buffer|
pami|pamixer|around|
pami|pamixer|around|
pamix|pamixer|buffer|
depen|dependencies|around|
qut|qutebrowser|around|
alacr|alacritty|around|
alacr|Alacritty|around|
li|library|around|
noti|Notification|around|
na|naughty|around|
ea|easy_async_with_shell|around|
easy_|easy_async_with_shell|around|
horo|horizontal|around|
Bri|Brightness|around|
ala|alacritty|around|
spa|spawn|around|
aw|awful|around|
high|highlighting|around|
Plu|Plugin|around|
gitg|gitgutter|around|
git|github|around|
git|git|around|
modi|modifiable|around|
Plu|Plugin|around|
pip|pipewire|around|
pi|pipewire|around|
vi|viewer|around|
navi|navigation|around|
qute|qutebrowser|around|
Ner|NERDTree|around|
high|highlight|around|
Ner|NERDTree|around|
hi|highlighting|around|
Syn|Syntax|around|
High|Highlighting|around|
P|Plugin|around|
de|define|around|
ra|randomNumberTakenFromMyHead|clangd|v
scan|scanf|clangd|f
lea|leader|around|
high|highlighting|around|
syn|syntax|around|
nerd|nerdtree|around|
prinn|printNumbers|buffer|
print|printf|buffer|
HELPER_h|HELPER_H|around|
"coc.preferences.forma|"coc.preferences.formatOnSaveFiletypes": [$1]|json|m
|"more"|json|v
"coc.pre|"coc.preferences.messageLevel": $1|json|m
"sugest.no|"suggest.noselect": ${1:true}|json|m
el|el|snippets|S
sni|snippet|snippets-source|S
s|snippets|file|
nv|nvim|file|
"snippets.use|"snippets.userSnippetsDirectory": "${1:}"|json|m
end|endsnippet|around|
snip|snippets|buffer|
